Title,Rating,Year,Actors,Runtime
The Dark Knight,9.0,2008,"b'Christopher Nolan, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine'",152
The Lord of the Rings: The Return of the King,8.9,2003,"b'Peter Jackson, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom'",201
Inception,8.8,2010,"b'Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe'",148
The Lord of the Rings: The Two Towers,8.7,2002,"b'Peter Jackson, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom'",179
Cidade de Deus,8.6,2002,"b'Fernando Meirelles, K\xc3\xa1tia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen'",130
The Departed,8.5,2006,"b'Martin Scorsese, Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg'",151
The Prestige,8.5,2006,"b'Christopher Nolan, Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine'",130
The Intouchables,8.5,2011,"b'Olivier Nakache, \xc3\x89ric Toledano, Fran\xc3\xa7ois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot'",112
The Pianist,8.5,2002,"b'Roman Polanski, Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox'",150
Oldeuboi,8.4,2003,"b'Chan-wook Park, Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji'",120
WALL�E,8.4,2008,"b'Andrew Stanton, Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard'",98
3 Idiots,8.4,2009,"b'Rajkumar Hirani, Aamir Khan, Madhavan, Mona Singh, Sharman Joshi'",170
Das Leben der Anderen,8.4,2006,"b'Florian Henckel von Donnersmarck, Ulrich M\xc3\xbche, Martina Gedeck, Sebastian Koch, Ulrich Tukur'",137
Taare Zameen Par,8.4,2007,"b'Aamir Khan, Amole Gupte, Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer'",165
Babam ve Oglum,8.4,2005,"b'\xc3\x87agan Irmak, \xc3\x87etin Tekindor, Fikret Kuskan, H\xc3\xbcmeyra, Ege Tanman'",108
Inglourious Basterds,8.3,2009,"b'Quentin Tarantino, Eli Roth, Brad Pitt, Diane Kruger, Eli Roth, M\xc3\xa9lanie Laurent'",153
Up,8.3,2009,"b'Pete Docter, Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer'",96
Batman Begins,8.3,2005,"b'Christopher Nolan, Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson'",140
Toy Story 3,8.3,2010,"b'Lee Unkrich, Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty'",103
Eternal Sunshine of the Spotless Mind,8.3,2004,"b'Michel Gondry, Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne'",108
Jodaeiye Nader az Simin,8.3,2011,"b'Asghar Farhadi, Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini'",123
Rang De Basanti,8.3,2006,"b'Rakeysh Omprakash Mehra, Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi'",157
"Swades: We, the People",8.3,2004,"b'Ashutosh Gowariker, Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth'",210
Pan's Labyrinth,8.2,2006,"b'Guillermo del Toro, Ivana Baquero, Ariadna Gil, Sergi L\xc3\xb3pez, Maribel Verd\xc3\xba'",118
Warrior,8.2,2011,"b""Gavin O'Connor, Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison""",140
V for Vendetta,8.2,2005,"b'James McTeigue, Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea'",132
Munna Bhai M.B.B.S.,8.2,2003,"b'Rajkumar Hirani, Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt'",156
Der Untergang,8.2,2004,"b'Oliver Hirschbiegel, Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane K\xc3\xb6hler'",156
Hauru no ugoku shiro,8.2,2004,"b'Hayao Miyazaki, Chieko Baish\xc3\xb4, Takuya Kimura, Tatsuya Gash\xc3\xbbin, Akihiro Miwa'",119
Incendies,8.2,2010,"b'Denis Villeneuve, Lubna Azabal, M\xc3\xa9lissa D\xc3\xa9sormeaux-Poulin, Maxim Gaudette, Mustafa Kamel'",131
El secreto de sus ojos,8.2,2009,"b'Juan Jos\xc3\xa9 Campanella, Ricardo Dar\xc3\xadn, Soledad Villamil, Pablo Rago, Carla Quevedo'",129
A Wednesday,8.2,2008,"b'Neeraj Pandey, Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Deepal Shaw'",104
Chak De! India,8.2,2007,"b'Shimit Amin, Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla'",153
Shutter Island,8.1,2010,"b'Martin Scorsese, Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley'",138
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,"b'David Yates, Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon'",130
No Country for Old Men,8.1,2007,"b'Ethan Coen, Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson'",122
The Help,8.1,2011,"b'Tate Taylor, Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard'",146
Hoe tem je een draak,8.1,2010,"b'Dean DeBlois, Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson'",98
Into the Wild,8.1,2007,"b'Sean Penn, Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden'",148
Finding Nemo,8.1,2003,"b'Andrew Stanton, Lee Unkrich, Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe'",100
Kill Bill: Vol. 1,8.1,2003,"b'Quentin Tarantino, Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen'",111
Catch Me If You Can,8.1,2002,"b'Steven Spielberg, Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen'",141
There Will Be Blood,8.1,2007,"b'Paul Thomas Anderson, Daniel Day-Lewis, Paul Dano, Ciar\xc3\xa1n Hinds, Martin Stringer'",158
Gran Torino,8.1,2008,"b'Clint Eastwood, Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her'",116
Million Dollar Baby,8.1,2004,"b'Clint Eastwood, Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel'",132
Hachi: A Dog's Tale,8.1,2009,"b'Lasse Hallstr\xc3\xb6m, Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer'",93
Before Sunset,8.1,2004,"b'Richard Linklater, Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torr\xc3\xa8s'",80
Salinui chueok,8.1,2003,"b'Joon-ho Bong, Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song'",131
Hotel Rwanda,8.1,2004,"b'Terry George, Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali'",121
Mary and Max,8.1,2009,"b'Adam Elliot, Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries'",92
