STN,YYYYMMDD,FG,TG
278,20181001,29,87
278,20181002,43,106
278,20181003,28,118
278,20181004,26,141
278,20181005,13,126
278,20181006,21,137
278,20181007,16,96
278,20181008,15,94
278,20181009,16,109
278,20181010,27,138
278,20181011,20,165
278,20181012,26,188
278,20181013,24,205
278,20181014,25,190
278,20181015,18,174
278,20181016,12,160
278,20181017,14,146
278,20181018,18,119
278,20181019,13,73
278,20181020,9,79
278,20181021,15,120
278,20181022,22,100
278,20181023,57,120
278,20181024,41,133
278,20181025,30,118
278,20181026,40,94
278,20181027,22,61
278,20181028,26,31
278,20181029,38,44
278,20181030,43,60
278,20181031,30,81
278,20181101,23,99
278,20181102,27,74
278,20181103,13,35
278,20181104,16,42
278,20181105,19,73
278,20181106,20,107
278,20181107,28,120
278,20181108,25,84
278,20181109,24,93
278,20181110,32,122
278,20181111,34,117
278,20181112,17,99
278,20181113,38,99
278,20181114,22,77
278,20181115,16,42
278,20181116,20,21
278,20181117,35,27
278,20181118,23,19
278,20181119,47,49
278,20181120,68,31
