YYYYMMDD,FG,TG
20181001,29,87
20181002,43,106
20181003,28,118
20181004,26,141
20181005,13,126
20181006,21,137
20181007,16,96
20181008,15,94
20181009,16,109
20181010,27,138
20181011,20,165
20181012,26,188
20181013,24,205
20181014,25,190
20181015,18,174
20181016,12,160
20181017,14,146
20181018,18,119
20181019,13,73
20181020,9,79
20181021,15,120
20181022,22,100
20181023,57,120
20181024,41,133
20181025,30,118
20181026,40,94
20181027,22,61
20181028,26,31
20181029,38,44
20181030,43,60
20181031,30,81
